Setup,Accuracy,MacroPrecision,MacroRecall,MacroF1,FAR,FRR,EER
All 10 users,0.904444444444445,0.932868907950072,0.904444444444445,0.883562531257611,0.0106172839506173,0.0955555555555555,0.0137037037037037
U07 excluded,0.898148148148148,0.93999531323981,0.898148148148148,0.872512035679022,0.0127314814814815,0.101851851851852,0.0124614197530864
