PC,ExplainedVariance,CumulativeVariance
1,23.6201330348792,23.6201330348792
2,21.7795183510903,45.3996513859695
3,16.4508814165048,61.8505328024743
4,8.97263403723169,70.8231668397059
5,4.83578497172869,75.6589518114346
6,3.80718628640596,79.4661380978406
7,2.73877386794838,82.204911965789
8,2.13718663071884,84.3420985965078
9,1.75092793118272,86.0930265276905
10,1.62454505568905,87.7175715833796
11,1.49365079392757,89.2112223773072
12,1.18110736180146,90.3923297391086
13,1.10073832800729,91.4930680671159
14,0.892216047584278,92.3852841147002
15,0.758457318463568,93.1437414331638
16,0.70174856548807,93.8454899986518
17,0.644723624731543,94.4902136233834
18,0.609168447275383,95.0993820706588
19,0.507293134450654,95.6066752051094
20,0.456549421594831,96.0632246267042
21,0.427773361597151,96.4909979883014
22,0.362437552974906,96.8534355412763
23,0.35320357162969,97.206639112906
24,0.318359919715031,97.524999032621
25,0.28096745731298,97.805966489934
26,0.255459326160055,98.0614258160941
27,0.235305886494908,98.296731702589
28,0.196127786395208,98.4928594889842
29,0.179088187387802,98.671947676372
30,0.167914747126482,98.8398624234985
31,0.14000567990592,98.9798681034044
32,0.125065160020899,99.1049332634253
33,0.111627610685241,99.2165608741105
34,0.100832354518786,99.3173932286293
35,0.0917251278573612,99.4091183564867
36,0.0654228920448388,99.4745412485315
37,0.0583367538063018,99.5328780023378
38,0.0555087197861876,99.588386722124
39,0.0526030735622739,99.6409897956863
40,0.0442282278347473,99.685218023521
41,0.037186559639774,99.7224045831608
42,0.0354468449196648,99.7578514280805
43,0.0331729687419538,99.7910243968224
44,0.0261882057348113,99.8172126025572
45,0.0225293380030675,99.8397419405603
46,0.0210258183862795,99.8607677589466
47,0.0196113819052156,99.8803791408518
48,0.0170883623702703,99.8974675032221
49,0.01634359571613,99.9138110989382
50,0.0154905850090617,99.9293016839473
51,0.012587576050922,99.9418892599982
52,0.0107062508546556,99.9525955108528
53,0.00786986603188618,99.9604653768847
54,0.00584285805820512,99.9663082349429
55,0.00556009035875391,99.9718683253017
56,0.00475374467268445,99.9766220699744
57,0.00413489446446328,99.9807569644388
58,0.00343399747841768,99.9841909619172
59,0.00292973031591499,99.9871206922332
60,0.00253845573588539,99.989659147969
61,0.00218462592157764,99.9918437738906
62,0.00181646917590336,99.9936602430665
63,0.0016811083668029,99.9953413514333
64,0.00128289293942663,99.9966242443728
65,0.00108410602459238,99.9977083503973
66,0.000730417656162407,99.9984387680535
67,0.000647198880330408,99.9990859669338
68,0.000352759425198629,99.999438726359
69,0.000203124013694119,99.9996418503727
70,0.000187633887100857,99.9998294842598
71,0.000121284733678523,99.9999507689935
72,4.33566845242947e-05,99.999994125678
73,5.87432195984282e-06,100
74,1.92924365538895e-31,100
75,1.92924365538895e-31,100
76,1.92924365538895e-31,100
77,1.92924365538895e-31,100
78,1.92924365538895e-31,100
79,1.92924365538895e-31,100
80,1.92924365538895e-31,100
81,1.92924365538895e-31,100
82,1.92924365538895e-31,100
83,1.92924365538895e-31,100
84,1.92924365538895e-31,100
85,1.92924365538895e-31,100
86,1.92924365538895e-31,100
87,1.92924365538895e-31,100
88,6.09928709942223e-33,100
