Metric,Baseline,Optimized,Change,Improvement
Accuracy,0.906666666666667,0.904444444444445,-0.00222222222222201,-0.00222222222222201
MacroPrecision,0.931183873809675,0.932868907950072,0.00168503414039756,0.00168503414039756
MacroRecall,0.906666666666667,0.904444444444445,-0.00222222222222201,-0.00222222222222201
MacroF1,0.890624485633748,0.883562531257611,-0.00706195437613744,-0.00706195437613744
FAR,0.0103703703703704,0.0106172839506173,0.000246913580246913,-0.000246913580246913
FRR,0.0933333333333333,0.0955555555555555,0.00222222222222219,-0.00222222222222219
EER,0.013533950617284,0.0137037037037037,0.000169753086419753,-0.000169753086419753
