Feature,MeanIntraUserVariance,MedianIntraUserVariance,InterUserVariance,InterIntraRatio
1,0.00265809252038488,0.00223634304384191,0.0245402584560425,9.23228152061732
2,0.0149514615104538,0.0144129900929711,0.0105720011092442,0.707088139968946
3,0.000872263696248699,0.000882991856616414,0.00396582684408477,4.54659165701771
4,0.000712934436193253,0.000675675310832717,0.00323596837092852,4.5389424421776
5,0.000196022090618012,0.000137414218947672,0.000635863893256227,3.24383793301447
6,0.000652770049452028,0.000595297881020358,0.00239367442403227,3.66694891415567
7,0.000499154841294529,0.000351570397203658,0.00328733995918521,6.58581203110888
8,0.0194679267524762,0.0207795766725647,0.0447257211326577,2.297405455718
9,0.00057615714918751,0.000586746869303606,0.00352728522417315,6.12208878974413
10,0.0115475897249317,0.0100258532751097,0.242739077237975,21.0207569735429
11,0.0135941519057129,0.0136622789579926,0.0289435332265449,2.12911650739911
12,0.00251669562763253,0.00186001048236227,0.0173500937693957,6.89399766062113
13,0.133854467610372,0.109483499315751,0.0853621958349575,0.637723920305989
14,0.579794531950295,0.479592972193812,0.229185774664212,0.395287920176281
15,0.00155691755414972,0.00115192588742097,0.00697052453073587,4.47713143971947
16,0.000652770049452028,0.000595297881020358,0.00239367442403227,3.66694891415567
17,0.00218079781203205,0.00204158618643706,0.0138579552143771,6.35453462852796
18,0.00201871776248194,0.0016594328132505,0.00985879013560511,4.88368920055621
19,0.00296261509256331,0.00271516600455555,0.1025440654409,34.6126858322891
20,0.00631762514844473,0.00403695055720516,0.100202741268455,15.8608241093759
21,0.000482997414894963,0.000390932931283555,0.00146660630543626,3.03646822986523
22,0.000369834792351797,0.000315655991943999,0.0786128569673053,212.56209148781
23,5.21642676384224e-05,2.2612105608826e-05,0.000125563899866515,2.40708641279752
24,0.000406190709994341,0.000400853819564329,0.076417587573949,188.132287848169
25,0.000368477426708706,0.000295331279752957,0.00119546033602341,3.24432448060853
26,0.0109836801436444,0.0101533323627653,0.0192960615539143,1.75679383426686
27,0.000554153397015969,0.000452551206406105,0.00661788596610734,11.9423358256775
28,0.0280986542995073,0.0299893988559427,0.311889901633375,11.0998163224792
29,0.00164795620572658,0.00105684552557734,0.00597299815299524,3.62448840098937
30,0.0694266683741789,0.049734928520972,0.120345565296513,1.73341985313055
31,0.0010262194642874,0.000747068491933771,0.0705970135655935,68.7932903461349
32,0.000406190709994341,0.000400853819564329,0.076417587573949,188.132287848169
33,0.00150031179840682,0.00127160948416941,0.100907080016721,67.2574061764091
34,0.00249532571147863,0.00136678367357698,0.077712408234591,31.1431922001617
35,0.00283753280598794,0.0023197896672393,0.0174778076313867,6.15950856832476
36,0.0161119800352718,0.0146645220444486,0.0274008212830261,1.70064890988201
37,0.000286867073575871,0.000226410128286391,0.000680484554320894,2.37212499098608
38,0.000826569684382648,0.00050629541112054,0.0221159295220829,26.756279524811
39,2.21793421405979e-05,1.37793363397523e-05,3.94842044742963e-05,1.78022432872919
40,0.000928109544904132,0.000526160180074954,0.0255980093449952,27.5808060433569
41,0.000154205811931287,0.00011890870365817,0.000624867998379566,4.0521689199179
42,0.0204449804741722,0.020937053823906,0.00875388238766724,0.428167803766101
43,0.000468781255889524,0.000315430121502139,0.0101014138681296,21.5482460981875
44,0.000616726163816684,0.00059745511355562,0.00352997573402683,5.72373273768682
45,0.121205854868526,0.0957073615450002,0.0574126186794451,0.473678592026115
46,0.000748629591056485,0.00042878258345558,0.029207494328992,39.0146137394395
47,0.000928109544904132,0.000526160180074954,0.0255980093449952,27.5808060433569
48,0.00198853854308868,0.00109629010411869,0.0179821064535352,9.04287549066189
49,0.00307960147430037,0.0027131737273528,0.0169114692893924,5.49144732866227
50,1.20987012823386e-06,1.16757959936548e-06,1.54689131562708e-06,1.27855980509354
51,0.010635125470085,0.00928822397164341,0.0179354077916392,1.68643123601018
52,2.1210726742364e-06,2.32440462774017e-06,1.32684474777963e-05,6.25553647339503
53,0.00067891523740126,0.0007220939145444,0.00316109112151462,4.65609099246845
54,1.52109593771093e-07,1.38953878412254e-07,1.56270020250788e-08,0.102735150458582
55,2.2950003238255e-06,2.67494052381504e-06,1.27597427792001e-05,5.55979999022244
56,3.74204264070113e-08,4.27510211274173e-08,2.06743295337813e-07,5.52487809364747
57,3.32234620342535e-07,2.80310147408566e-07,5.24467715069299e-08,0.157860645039957
58,1.00016978286014e-06,1.00829986101995e-06,2.63578174749154e-06,2.63533431230941
59,0.000685072810739734,0.000731780057763886,0.0031582823326275,4.61014111655694
60,5.92197403495774e-07,4.57937513661973e-07,3.04720489390356e-07,0.514558975566795
61,7.28224489320331e-05,7.47456933175192e-05,0.000167211851033712,2.29615803210992
62,0.00130883087253871,0.000188124833653599,0.0131326393804885,10.0338704228555
63,0.00786755495470996,0.00249123493987751,0.0946239050300755,12.0271044275866
64,1.96960588721254e-07,1.66625124776034e-07,2.42171789866513e-08,0.122954440360772
65,3.32234620342535e-07,2.80310147408566e-07,5.24467715069299e-08,0.157860645039957
66,3.66816597398018e-07,3.0032488973392e-07,5.68259419767451e-07,1.54916495996737
67,0.00138852119703272,0.000750383109994535,0.00713476719020502,5.13839270545595
68,1.68518839507717e-06,1.50637372876938e-06,2.63791454176816e-05,15.6535290008319
69,0.000302757824944939,0.000312385460642938,0.00862809599217517,28.4983418471116
70,4.42710247128094e-08,3.6227825968789e-08,1.06919886816893e-08,0.241512110854059
71,2.2950003238255e-06,2.67494052381504e-06,1.27597427792001e-05,5.55979999022244
72,2.47845186480929e-09,2.06585996895359e-09,4.25230060309318e-08,17.1570821386786
73,9.77298160512947e-08,7.47966798845975e-08,2.69458703918288e-08,0.275718009296817
74,5.53638447819578e-07,4.75080107240997e-07,1.03836594689661e-06,1.87553077386443
75,0.000302997331903576,0.000312440144350282,0.00863240764432136,28.4900450775657
76,1.7820372365874e-07,1.80101335958864e-07,5.70758454642689e-08,0.320284246711093
77,0.00751101817656017,0.00611797236475218,0.0400604736580024,5.33356100548644
78,5.77594391044458e-08,4.2808370305882e-08,1.50841628825013e-08,0.261154939493728
79,9.77298160512947e-08,7.47966798845975e-08,2.69458703918288e-08,0.275718009296817
80,4.27724073912851e-07,3.89389356865098e-07,3.49700548802061e-07,0.817584442749352
81,0.00103870475002706,0.00112949318648212,0.00992789504065913,9.55795671522477
82,1.81958510283733e-06,1.61448513643513e-06,3.91739407413481e-05,21.5290511421987
83,0.000447400718697733,0.000287952634125533,0.0152209408226516,34.0208233615454
84,5.06766233408174e-08,4.76150752836997e-08,2.0537373948209e-09,0.0405263265472557
85,2.2950003238255e-06,2.67494052381504e-06,1.27597427792001e-05,5.55979999022244
86,2.02922505978004e-09,1.08261623727773e-09,4.03167661034525e-08,19.868058250881
87,1.10414286590087e-07,1.06130897455707e-07,5.23447305638854e-09,0.0474075702295206
88,6.921436085906e-07,5.83198077489302e-07,8.85002265304283e-07,1.27863965517573
89,0.000448978233687578,0.000290488464715706,0.0152251580991158,33.9106819813066
90,1.64898181742308e-07,1.41232629284408e-07,1.25141746622176e-08,0.0758903131201463
91,6.51406680903876e-08,6.32542871311273e-08,2.89004947757477e-09,0.044366285339802
92,1.10414286590087e-07,1.06130897455707e-07,5.23447305638854e-09,0.0474075702295206
93,0.0204441984225972,0.0188899896652737,0.0483178450484474,2.36340129603911
94,0.427213690416605,0.362566122014059,2.33779865556843,5.47219976328165
95,0.754126984126984,0.75515873015873,4.81237997256516,6.38139209159345
96,0.224774019014976,0.174130749176403,0.208816737962779,0.92900744880513
97,2.96084765639927,2.79642482566635,7.39765386262935,2.49849189188806
98,0.46515873015873,0.413888888888889,0.911085390946502,1.95865482442005
99,0.900161858811528,0.808519605315504,0.332404772024566,0.369272224512418
100,2.74181232079784,2.21950154971692,6.88968517354478,2.5128215820184
101,0.343650793650794,0.317063492063492,0.745747599451303,2.17007384597839
102,8.61111111111112,9,0.000205761316872428,2.389486260454e-05
103,1.9234126984127,0.111111111111111,0.630049725651577,0.327568662810393
104,100.189365079365,14.9444444444444,443.708882030178,4.4287024044787
105,235.100634920635,200.942063492063,657.36316872428,2.79609269854244
106,353.33380952381,317.313888888889,2516.37187928669,7.1217976074184
107,161.056825396825,94.2646825396825,295.648353909465,1.8356772721741
108,52.4751587301587,41.5853174603175,412.736634087791,7.86537180783375
109,11.3320634920635,0.128571428571429,12.2956104252401,1.08502837403368
110,0,0,0,0
111,0,0,0,0
112,0,0,0,0
113,0.213253968253968,0,0.0171553497942387,0.0804456298501701
114,30.9590476190476,6.36944444444444,30.4387517146776,0.983194059753639
115,261.224603174603,274.512698412699,2897.55198902606,11.0921863936734
116,364.20119047619,304.274206349206,8654.29459019205,23.7624006085115
117,131.120952380952,11.9674603174603,1848.49897119342,14.0976627886509
118,122.087222222222,0,6399.26029663923,52.4154795248871
119,34.7043650793651,0,172.319144375857,4.96534496400618
120,0,0,0,0
121,0,0,0,0
122,0.0111111111111111,0,0.000308641975308642,0.0277777777777773
123,0.267936507936508,0,0.00960219478737997,0.0358375753320461
124,2.41912698412698,0.222222222222222,0.385708161865569,0.159441056379586
125,70.1107142857143,9.2313492063492,38.7006944444444,0.551994011738803
126,125.592777777778,75.2722222222222,4233.39290980796,33.7072957913111
127,408.184126984127,237.864682539683,2180.53398491084,5.34203522567557
128,611.017698412698,297.268253968254,4781.34095507545,7.82520861097217
129,364.428492063492,113.103174603175,2648.18642832647,7.26668327531618
130,5.00150793650794,0,1.65865054869684,0.3316300943141
131,0,0,0,0
