User,FinalF1,FinalFAR,FinalFRR,FinalEER,FinalAUC,NormalizedCentroidDistance,MeanAbsoluteNormalizedShift,PCACentroidShift,KnownExactDuplicate
U10,0.260218763716949,0.000617283950617284,0.808333333333333,0.0313271604938272,0.983882030178327,41.5915660013519,1.68053002768513,13.7474270543718,0
U09,0.691223778400249,0.0885802469135803,0.0638888888888889,0.0813271604938272,0.985819615912209,3.43701418269747,0.216916617565412,1.97238844628267,0
U07,0.967550157574882,0.00771604938271605,0,0,1,0,0,2.03507241945104e-15,1
U05,0.975176710991121,0.0037037037037037,0.0166666666666667,0.00169753086419753,0.999819958847737,5.64428816947035,0.352197355077787,4.19728802542733,0
U04,0.978868278162123,0.000617283950617284,0.0361111111111111,0.0141975308641975,0.998688271604938,2.95957461334069,0.186782381319419,1.51766358246746,0
U08,0.98896499238965,0.00185185185185185,0.00555555555555555,0.00324074074074074,0.999802812071331,2.06734759500522,0.123627923523179,0.554302682545857,0
U01,0.991627007095848,0.000617283950617284,0.0111111111111111,0.00216049382716049,0.999957133058985,1.69825107072331,0.11021829096613,0.56417074331709,0
U03,0.992917505030181,0,0.0138888888888889,0.00277777777777778,0.999819958847737,3.05760788519713,0.208990991689598,1.88197648075937,0
U02,0.993187708256201,0.00154320987654321,0,0.000308641975308642,0.999862825788752,5.39863026972454,0.331017038649381,3.64245754225536,0
U06,0.995890410958904,0.000925925925925926,0,0,1,1.6497718123102,0.0961439983925148,0.813535214966685,0
