Repeat,User,Accuracy,Precision,Recall,Specificity,F1,FAR,FRR,EER
1,1,1,1,1,1,1,0,0,0
1,2,1,1,1,1,1,0,0,0
1,3,1,1,1,1,1,0,0,0
1,4,0.991666666666667,0.971428571428571,0.944444444444444,0.996913580246914,0.957746478873239,0.00308641975308642,0.0555555555555556,0.0277777777777778
1,5,0.994444444444444,0.947368421052632,1,0.993827160493827,0.972972972972973,0.00617283950617284,0,0.00154320987654321
1,6,1,1,1,1,1,0,0,0
1,7,0.983333333333333,0.857142857142857,1,0.981481481481482,0.923076923076923,0.0185185185185185,0,0
1,8,0.994444444444444,0.972222222222222,0.972222222222222,0.996913580246914,0.972222222222222,0.00308641975308642,0.0277777777777778,0.00308641975308642
1,9,0.95,0.714285714285714,0.833333333333333,0.962962962962963,0.769230769230769,0.037037037037037,0.166666666666667,0.0833333333333333
1,10,0.963888888888889,1,0.638888888888889,1,0.779661016949152,0,0.361111111111111,0.00308641975308642
2,1,1,1,1,1,1,0,0,0
2,2,0.991666666666667,0.923076923076923,1,0.990740740740741,0.96,0.00925925925925926,0,0
2,3,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0
2,4,0.994444444444444,1,0.944444444444444,1,0.971428571428571,0,0.0555555555555556,0.0555555555555556
2,5,0.994444444444444,0.947368421052632,1,0.993827160493827,0.972972972972973,0.00617283950617284,0,0.00308641975308642
2,6,1,1,1,1,1,0,0,0
2,7,0.986111111111111,0.878048780487805,1,0.984567901234568,0.935064935064935,0.0154320987654321,0,0
2,8,0.994444444444444,1,0.944444444444444,1,0.971428571428571,0,0.0555555555555556,0
2,9,0.908333333333333,0.523809523809524,0.916666666666667,0.907407407407407,0.666666666666667,0.0925925925925926,0.0833333333333333,0.0833333333333333
2,10,0.911111111111111,1,0.111111111111111,1,0.2,0,0.888888888888889,0.00308641975308642
3,1,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0.00462962962962963
3,2,1,1,1,1,1,0,0,0
3,3,1,1,1,1,1,0,0,0
3,4,0.994444444444444,1,0.944444444444444,1,0.971428571428571,0,0.0555555555555556,0.0216049382716049
3,5,0.994444444444444,0.947368421052632,1,0.993827160493827,0.972972972972973,0.00617283950617284,0,0
3,6,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0
3,7,0.986111111111111,0.878048780487805,1,0.984567901234568,0.935064935064935,0.0154320987654321,0,0
3,8,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0.00154320987654321
3,9,0.922222222222222,0.571428571428571,0.888888888888889,0.925925925925926,0.695652173913043,0.0740740740740741,0.111111111111111,0.106481481481482
3,10,0.933333333333333,1,0.333333333333333,1,0.5,0,0.666666666666667,0.0277777777777778
4,1,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0.0216049382716049
4,2,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0
4,3,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0
4,4,0.994444444444444,1,0.944444444444444,1,0.971428571428571,0,0.0555555555555556,0
4,5,0.994444444444444,0.947368421052632,1,0.993827160493827,0.972972972972973,0.00617283950617284,0,0.00154320987654321
4,6,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0
4,7,0.991666666666667,0.923076923076923,1,0.990740740740741,0.96,0.00925925925925926,0,0
4,8,1,1,1,1,1,0,0,0
4,9,0.975,0.846153846153846,0.916666666666667,0.981481481481482,0.88,0.0185185185185185,0.0833333333333333,0.0555555555555556
4,10,0.983333333333333,1,0.833333333333333,1,0.909090909090909,0,0.166666666666667,0.00308641975308642
5,1,0.994444444444444,1,0.944444444444444,1,0.971428571428571,0,0.0555555555555556,0.0277777777777778
5,2,1,1,1,1,1,0,0,0
5,3,1,1,1,1,1,0,0,0
5,4,0.991666666666667,0.945945945945946,0.972222222222222,0.993827160493827,0.958904109589041,0.00617283950617284,0.0277777777777778,0.0277777777777778
5,5,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0.00154320987654321
5,6,1,1,1,1,1,0,0,0
5,7,0.991666666666667,0.923076923076923,1,0.990740740740741,0.96,0.00925925925925926,0,0
5,8,1,1,1,1,1,0,0,0
5,9,0.897222222222222,0.492537313432836,0.916666666666667,0.895061728395062,0.640776699029126,0.104938271604938,0.0833333333333333,0.0833333333333333
5,10,0.905555555555556,1,0.0555555555555556,1,0.105263157894737,0,0.944444444444444,0.00617283950617284
