User,Domain,Day,FileName,VariableName,Samples,Features,ExpectedFeatures,DimensionValid,NaNCount,InfCount,GlobalMean,GlobalSD
U06,TimeD,MDay,U06_Acc_TimeD_MDay.mat,Acc_TD_Feat_Vec,36,88,88,1,0,0,11.8656746043618,39.5357234409216
U07,FreqD,FDay,U07_Acc_FreqD_FDay.mat,Acc_FD_Feat_Vec,36,43,43,1,0,0,0.136301482602503,0.271385322157284
U07,FreqD,MDay,U07_Acc_FreqD_MDay.mat,Acc_FD_Feat_Vec,36,43,43,1,0,0,0.136301482602503,0.271385322157284
U07,TimeD,FDay,U07_Acc_TimeD_FDay.mat,Acc_TD_Feat_Vec,36,88,88,1,0,0,11.8464714038714,33.9453190114818
U07,TimeD_FreqD,FDay,U07_Acc_TimeD_FreqD_FDay.mat,Acc_TDFD_Feat_Vec,36,131,131,1,0,0,8.00267517017246,28.3591418983918
U07,TimeD_FreqD,MDay,U07_Acc_TimeD_FreqD_MDay.mat,Acc_TDFD_Feat_Vec,36,131,131,1,0,0,8.00267517017246,28.3591418983918
U07,TimeD,MDay,U07_Acc_TimeD_MDay.mat,Acc_TD_Feat_Vec,36,88,88,1,0,0,11.8464714038714,33.9453190114818
U08,FreqD,FDay,U08_Acc_FreqD_FDay.mat,Acc_FD_Feat_Vec,36,43,43,1,0,0,0.142015603736657,0.280377295677934
U08,FreqD,MDay,U08_Acc_FreqD_MDay.mat,Acc_FD_Feat_Vec,36,43,43,1,0,0,0.136228231596809,0.272205925024122
U08,TimeD,FDay,U08_Acc_TimeD_FDay.mat,Acc_TD_Feat_Vec,36,88,88,1,0,0,11.8455050713084,33.4970878050969
U08,TimeD_FreqD,FDay,U08_Acc_TimeD_FreqD_FDay.mat,Acc_TDFD_Feat_Vec,36,131,131,1,0,0,8.00390165828869,27.9982701177342
U08,TimeD_FreqD,MDay,U08_Acc_TimeD_FreqD_MDay.mat,Acc_TDFD_Feat_Vec,36,131,131,1,0,0,7.99029018788815,28.2172091377086
U08,TimeD,MDay,U08_Acc_TimeD_MDay.mat,Acc_TD_Feat_Vec,36,88,88,1,0,0,11.8280704619851,33.7708491134841
U09,FreqD,FDay,U09_Acc_FreqD_FDay.mat,Acc_FD_Feat_Vec,36,43,43,1,0,0,0.129993926172012,0.273732957244921
U09,FreqD,MDay,U09_Acc_FreqD_MDay.mat,Acc_FD_Feat_Vec,36,43,43,1,0,0,0.136405208882349,0.279852895295141
U09,TimeD,FDay,U09_Acc_TimeD_FDay.mat,Acc_TD_Feat_Vec,36,88,88,1,0,0,11.8543153702127,34.6194434933045
U09,TimeD_FreqD,FDay,U09_Acc_TimeD_FreqD_FDay.mat,Acc_TDFD_Feat_Vec,36,131,131,1,0,0,8.00587398018405,28.9026057250965
U09,TimeD_FreqD,MDay,U09_Acc_TimeD_FreqD_MDay.mat,Acc_TDFD_Feat_Vec,36,131,131,1,0,0,8.02003867713324,27.7126451022041
U09,TimeD,MDay,U09_Acc_TimeD_MDay.mat,Acc_TD_Feat_Vec,36,88,88,1,0,0,11.8722686673013,33.1378272915108
U10,FreqD,FDay,U10_Acc_FreqD_FDay.mat,Acc_FD_Feat_Vec,36,43,43,1,0,0,0.165461483681242,0.285724649616491
U10,FreqD,MDay,U10_Acc_FreqD_MDay.mat,Acc_FD_Feat_Vec,36,43,43,1,0,0,0.175371896070892,0.342499663618605
U10,TimeD,FDay,U10_Acc_TimeD_FDay.mat,Acc_TD_Feat_Vec,36,88,88,1,0,0,11.8172631805117,30.1356445804695
U10,TimeD_FreqD,FDay,U10_Acc_TimeD_FreqD_FDay.mat,Acc_TDFD_Feat_Vec,36,131,131,1,0,0,7.99262598231541,25.2975431653003
U10,TimeD_FreqD,MDay,U10_Acc_TimeD_FreqD_MDay.mat,Acc_TDFD_Feat_Vec,36,131,131,1,0,0,8.01868765488375,25.3369830970084
U10,TimeD,MDay,U10_Acc_TimeD_MDay.mat,Acc_TD_Feat_Vec,36,88,88,1,0,0,11.8512169461219,30.1815943517115
