Domain,MeanAccuracy,SDAccuracy,MeanMacroF1,SDMacroF1,MeanFAR,MeanFRR,MeanEER,MeanAUC,Repeats
FreqD,0.9275,0.0205395959064437,0.925023567591679,0.0205728140500828,0.00805555555555556,0.0725,0.0172222222222222,0.993645833333333,5
TimeD,0.985,0.0162980060130066,0.984924836601307,0.0165220384421094,0.00166666666666667,0.015,0.00180555555555556,0.999513888888889,5
TimeD_FreqD,0.99,0.0162980060130066,0.989970588235294,0.0163412434062728,0.00111111111111111,0.01,0.000416666666666667,0.999895833333333,5
