Feature,Mean,Median,StandardDeviation,Variance,Minimum,Maximum,Range
1,1.43806447961512,1.44405478856723,0.153323760354362,0.0235081754892018,1.12728342419253,1.76536814787651,0.638084723683985
2,0.635646688836492,0.658540519430953,0.159136676848175,0.0253244819182803,6.56893104967386e-11,0.982133197709684,0.982133197643995
3,0.186759334012788,0.175762342910901,0.0539989499916742,0.00291588660020333,0.0856708825677364,0.360364710812706,0.27469382824497
4,1.03280572609567,1.02740851181701,0.0884474079434318,0.00782294397191185,0.870590933784641,1.30008054514633,0.429489611361693
5,0.037786835756103,0.0308924017209636,0.0216295096137416,0.00046783568613094,0.00733950011993487,0.129862724799125,0.12252322467919
6,1.02528691115792,1.00868949715832,0.0952842177992988,0.00907908216162421,0.849569511471738,1.31854021835593,0.468970706884195
7,0.152590121269185,0.1426763353558,0.0451076993476217,0.00203470454043543,0.0703930998080608,0.276016210543163,0.205623110735102
8,0.80241779077863,0.780659417123809,0.226822126287477,0.0514482769735721,0.376548707387972,1.68714546990543,1.31059676251745
9,1.05099053800952,1.04072930404875,0.0871190717932442,0.00758973267011644,0.913791451984288,1.30471945466954,0.390928002685249
10,-0.125610919657482,-0.30331923662939,0.488859435075224,0.238983547262067,-0.840335448181586,0.891615631676288,1.73195107985787
11,0.316151586525748,0.296094612658494,0.240158450285509,0.0576760812435374,-0.716572782940598,0.844871940316002,1.5614447232566
12,0.266139601058397,0.248895883367042,0.0967548532646082,0.00936150163025586,0.0954495082191424,0.521230370656308,0.425780862437166
13,0.103431307887947,0.192874047073638,0.580995746558151,0.337556057518664,-2.5958033966594,1.11778919943017,3.71359259608957
14,2.64639305796789,2.48650143247297,1.11284805423267,1.23843079180944,1.58087367916793,9.8536401355358,8.27276645636787
15,0.893987534784646,0.896578301092767,0.111330350693009,0.0123944469854284,0.649080773990621,1.22099583844381,0.571915064453184
16,1.02528691115792,1.00868949715832,0.0952842177992988,0.00907908216162421,0.849569511471738,1.31854021835593,0.468970706884195
17,1.24799953172766,1.21916234215617,0.114857680362296,0.0131922867382073,1.05936057705392,1.48382488467666,0.424464307622739
18,1.1280263265523,1.11504830287808,0.107671791247647,0.0115932146304768,0.745083635167489,1.38962000341517,0.644536368247685
19,0.177526020949007,0.029828048765974,0.322838955536575,0.104224991211947,-0.162235595217013,1.07470273519717,1.23693833041419
20,-0.469507584596149,-0.501602474926781,0.348770095845115,0.121640579755811,-1.26968344601266,0.195435763436208,1.46511920944887
21,0.154749400980622,0.12906787008747,0.0891313485358829,0.00794439729182504,0.0524029637244599,0.488807219188755,0.436404255464295
22,-0.113591566370205,-0.23921001195985,0.27088740299931,0.0733799851037107,-0.377643664437977,0.459086478958773,0.83673014339675
23,0.0318697066254312,0.016658518398148,0.0447264630262817,0.00200045649484135,0.00274607060710706,0.238932497531044,0.236186426923937
24,-0.0900187277718796,-0.218097907247442,0.267550541230394,0.0715832921126765,-0.354286032843587,0.501770395263318,0.856056428106905
25,0.130479066610149,0.106041355180884,0.0805118415661894,0.00648215663237918,0.0451303390451008,0.431738852302071,0.38660851325697
26,0.647033605545156,0.581781415990834,0.308988061445225,0.0954736221156779,0.21711866145608,1.82990564982892,1.61278698837284
27,0.329403269770315,0.298291613245468,0.0967582652909546,0.00936216190211476,0.127701802928206,0.566101187952733,0.438399385024527
28,-0.315953763050424,-0.570958621916035,0.592132508764237,0.350620907935429,-0.904712334257585,0.93903835179746,1.84375068605504
29,0.241973891999667,0.186096331924722,0.178086865660245,0.0317149317206902,0.0725852974450859,0.881244965917168,0.808659668472082
30,-0.353677749058619,-0.339500677453002,0.351819725830291,0.123777119483301,-1.17063129255083,0.843532668335156,2.01416396088599
31,-0.23260464824051,-0.316724936796959,0.282450962730502,0.0797785463473873,-0.758058056119946,0.352592743363711,1.11065079948366
32,-0.0900187277718796,-0.218097907247442,0.267550541230394,0.0715832921126765,-0.354286032843587,0.501770395263318,0.856056428106905
33,0.146266097890238,-0.000899076193581723,0.315661550055116,0.0996422141831985,-0.182208887728221,0.938839968258375,1.1210488559866
34,-0.0399308055011528,-0.184455155838055,0.276704332322882,0.076565287526252,-0.392273865720521,0.741864224043393,1.13413808976391
35,0.435339589941414,0.455793418670166,0.160143977425977,0.0256460935058118,0.155573048785995,1.18849642208042,1.03292337329443
36,-0.143490909174941,-0.158155828228713,0.216320091065299,0.0467943817984993,-0.770558474500126,0.23958234713065,1.01014082163078
37,0.135157274833192,0.138799700414146,0.0314812536820881,0.000991069333395984,0.0598498766725473,0.270282707636044,0.210432830963497
38,0.165750198231962,0.161019872495036,0.149370294477212,0.0223114848722091,-0.0742101579880497,0.450970711905741,0.525180869893791
39,0.0192558053033605,0.0192653600665255,0.00847439887954102,7.18154363695661e-05,0.00358200773771912,0.0730527420470712,0.0694707343093521
40,0.159279905957479,0.160556602750069,0.157548433312017,0.0248215088390709,-0.113256500163677,0.407617121742261,0.520873621905938
41,0.114966884958803,0.119817539825649,0.0271337655849252,0.00073624123481767,0.0512896859349522,0.210161366229723,0.158871680294771
42,0.578830499116355,0.54361258860573,0.190855464799675,0.0364258084439001,0.228761034103909,1.12399945397122,0.895238419867313
