Repeat,Accuracy,MacroPrecision,MacroRecall,MacroF1,MacroSpecificity,MeanFAR,MeanFRR,MeanEER,MeanAUC,Users
1,0.882716049382716,0.920003336670003,0.882716049382716,0.843581983792412,0.985339506172839,0.0146604938271605,0.117283950617284,0.00945216049382716,0.998885459533608,9
2,0.885802469135803,0.939220911051897,0.885802469135803,0.852376108439695,0.985725308641975,0.0142746913580247,0.114197530864198,0.00636574074074074,0.999678497942387,9
3,0.885802469135803,0.938438438438438,0.885802469135803,0.852549960580933,0.985725308641975,0.0142746913580247,0.114197530864198,0.00925925925925926,0.997545867626886,9
4,0.882716049382716,0.940680406433831,0.882716049382716,0.850961373500656,0.985339506172839,0.0146604938271605,0.117283950617284,0.00366512345679012,0.999485596707819,9
5,0.895061728395062,0.927113652113652,0.895061728395062,0.865507873806969,0.986882716049383,0.0131172839506173,0.104938271604938,0.00424382716049383,0.999399862825789,9
6,0.885802469135803,0.938438438438438,0.885802469135803,0.852549960580933,0.985725308641975,0.0142746913580247,0.114197530864198,0.0557484567901235,0.965877914951989,9
7,0.919753086419753,0.951459656377689,0.919753086419753,0.909174445604539,0.989969135802469,0.0100308641975309,0.0802469135802469,0.00347222222222222,0.999807098765432,9
8,0.882716049382716,0.935435435435435,0.882716049382716,0.849462945338795,0.985339506172839,0.0146604938271605,0.117283950617284,0.0250771604938272,0.987922239368999,9
9,0.929012345679012,0.954851403127265,0.929012345679012,0.922019367736586,0.991126543209877,0.00887345679012346,0.0709876543209877,0.000964506172839506,0.999935699588477,9
10,0.932098765432099,0.954311454311454,0.932098765432099,0.926936337408701,0.991512345679012,0.00848765432098766,0.0679012345679012,0.00636574074074074,0.999667781207133,9
