User,Domain,ExactDuplicate,MaximumAbsoluteDifference,MeanAbsoluteDifference,MeanVectorDistance,FDayMeanVariance,MDayMeanVariance
U01,FreqD,0,0.378582276272447,0.00985866407483834,0.0505188748657547,0.000412013050084725,0.000375309208488354
U01,TimeD,0,94,2.5020044528159,25.7857527037351,40.5997271380987,41.0491404099797
U01,TimeD_FreqD,0,94,1.68397186567189,25.7858021914172,27.2732343871285,27.5751182776655
U02,FreqD,0,0.593360558995772,0.0195219481265122,0.373119648464717,0.000804032066137828,0.000778792230164976
U02,TimeD,0,125,3.46753608176664,99.6176026766386,29.1349863947006,20.0770991139437
U02,TimeD_FreqD,0,125,2.3357451829382,99.6183014376008,19.5718578329198,13.4871619091065
U03,FreqD,0,0.235886270903632,0.011311570353554,0.142680809579283,0.000268739185187497,0.000369301551237247
U03,TimeD,0,78,2.97308962508004,61.4607416972744,43.511721639523,13.8852970038364
U03,TimeD_FreqD,0,78,2.00090293536066,61.4609073134502,29.2293363363587,9.32764897942216
U04,FreqD,0,0.186676719134087,0.011310504150871,0.0776320083635037,0.000513266351042101,0.00047590915345739
U04,TimeD,0,88,2.65881811261428,63.2298727084983,21.9566754609732,35.3119305743049
U04,TimeD_FreqD,0,88,1.78978889762247,63.2299203657701,14.7496909238072,23.7211477452857
U05,FreqD,0,0.603676301117359,0.0148224613838936,0.155790497418928,0.000266210674243163,0.00112124310699972
U05,TimeD,0,124,3.0302106421474,69.2911617648077,27.1792839336975,49.3191581447021
U05,TimeD_FreqD,0,124,2.04042673548457,69.2913369000472,18.2579269711784,33.1307948869266
U06,FreqD,0,0.131251474180143,0.00603003853370854,0.0600441356339049,0.00021789549452158,0.000291572192323105
U06,TimeD,0,130,1.99646187789322,54.0042891269558,57.3941011260208,58.728463037416
U06,TimeD_FreqD,0,130,1.34311402222559,54.0043225066852,38.5548875465351,39.4512769839457
U07,FreqD,1,0,0,0,0.00085183845402642,0.00085183845402642
U07,TimeD,1,0,0,0,20.8796524743676,20.8796524743676
U07,TimeD_FreqD,1,0,0,0,14.0263057007471,14.0263057007471
U08,FreqD,0,0.514706757717245,0.015543557221558,0.174254407574901,0.00195673571921019,0.00105126388303248
U08,TimeD,0,101,2.5926355382316,36.9834022429916,59.1319564094559,16.2130552603141
U08,TimeD_FreqD,0,101,1.74671984980846,36.983812757279,39.7228725470843,10.8915577653024
U09,FreqD,0,0.419044156842855,0.0151115703130837,0.152793275439043,0.00121844870155063,0.00123424972942938
U09,TimeD,0,85,2.44307823961014,27.2341209938217,49.3813339886224,35.7318384786253
U09,TimeD_FreqD,0,85,1.64611208098592,27.2345496032363,33.1725937732286,24.0034722050183
U10,FreqD,0,1.43356852165436,0.0583687594717411,1.02674032809809,0.0010973519644235,0.00237561927752454
U10,TimeD,0,125,6.84711966336052,159.266953329429,44.6363284052814,33.6000075046227
U10,TimeD_FreqD,0,125,4.61875104605351,159.270262819334,29.9850693572461,22.5717771911125
