Repeat,User,Accuracy,Precision,Recall,Specificity,F1,FAR,FRR,EER,AUC,Support
1,U01,1,1,1,1,1,0,0,0,1,36
1,U02,1,1,1,1,1,0,0,0,1,36
1,U03,1,1,1,1,1,0,0,0,1,36
1,U04,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0,1,36
1,U05,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0.00154320987654321,0.99991426611797,36
1,U06,1,1,1,1,1,0,0,0,1,36
1,U07,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
1,U08,1,1,1,1,1,0,0,0,1,36
1,U09,0.894444444444444,0.486111111111111,0.972222222222222,0.885802469135803,0.648148148148148,0.114197530864198,0.0277777777777778,0.111111111111111,0.979166666666667,36
1,U10,0.902777777777778,1,0.0277777777777778,1,0.054054054054054,0,0.972222222222222,0.0277777777777778,0.985853909465021,36
2,U01,1,1,1,1,1,0,0,0,1,36
2,U02,1,1,1,1,1,0,0,0,1,36
2,U03,1,1,1,1,1,0,0,0,1,36
2,U04,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0,1,36
2,U05,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
2,U06,1,1,1,1,1,0,0,0,1,36
2,U07,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
2,U08,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
2,U09,0.905555555555556,0.515151515151515,0.944444444444444,0.901234567901235,0.666666666666667,0.0987654320987654,0.0555555555555556,0.0895061728395062,0.981652949245542,36
2,U10,0.911111111111111,1,0.111111111111111,1,0.2,0,0.888888888888889,0.0277777777777778,0.987139917695473,36
3,U01,1,1,1,1,1,0,0,0,1,36
3,U02,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
3,U03,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0,1,36
3,U04,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0.00154320987654321,0.99991426611797,36
3,U05,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0.00154320987654321,0.99982853223594,36
3,U06,1,1,1,1,1,0,0,0,1,36
3,U07,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
3,U08,1,1,1,1,1,0,0,0,1,36
3,U09,0.958333333333333,0.714285714285714,0.972222222222222,0.95679012345679,0.823529411764706,0.0432098765432099,0.0277777777777778,0.0277777777777778,0.996313443072702,36
3,U10,0.961111111111111,1,0.611111111111111,1,0.758620689655172,0,0.388888888888889,0,1,36
4,U01,1,1,1,1,1,0,0,0,1,36
4,U02,0.994444444444444,0.947368421052632,1,0.993827160493827,0.972972972972973,0.00617283950617284,0,0.00308641975308642,0.998628257887517,36
4,U03,0.994444444444444,1,0.944444444444444,1,0.971428571428571,0,0.0555555555555556,0.0277777777777778,0.998199588477366,36
4,U04,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0.0277777777777778,0.994598765432099,36
4,U05,0.991666666666667,1,0.916666666666667,1,0.956521739130435,0,0.0833333333333333,0.00308641975308642,0.99982853223594,36
4,U06,1,1,1,1,1,0,0,0,1,36
4,U07,0.972222222222222,0.782608695652174,1,0.969135802469136,0.878048780487805,0.0308641975308642,0,0,1,36
4,U08,0.994444444444444,0.972222222222222,0.972222222222222,0.996913580246914,0.972222222222222,0.00308641975308642,0.0277777777777778,0.0277777777777778,0.998371056241427,36
4,U09,0.9,0.5,0.888888888888889,0.901234567901235,0.64,0.0987654320987654,0.111111111111111,0.111111111111111,0.967764060356653,36
4,U10,0.9,0.5,0.0277777777777778,0.996913580246914,0.0526315789473684,0.00308641975308642,0.972222222222222,0.194444444444444,0.880915637860082,36
5,U01,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0,1,36
5,U02,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
5,U03,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0,1,36
5,U04,0.994444444444444,1,0.944444444444444,1,0.971428571428571,0,0.0555555555555556,0.0277777777777778,0.99528463648834,36
5,U05,0.991666666666667,0.945945945945946,0.972222222222222,0.993827160493827,0.958904109589041,0.00617283950617284,0.0277777777777778,0.00308641975308642,0.999485596707819,36
5,U06,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
5,U07,0.994444444444444,0.947368421052632,1,0.993827160493827,0.972972972972973,0.00617283950617284,0,0,1,36
5,U08,1,1,1,1,1,0,0,0,1,36
5,U09,0.9,0.5,0.944444444444444,0.895061728395062,0.653846153846154,0.104938271604938,0.0555555555555556,0.0555555555555556,0.990054869684499,36
5,U10,0.902777777777778,0.666666666666667,0.0555555555555556,0.996913580246914,0.102564102564103,0.00308641975308642,0.944444444444444,0.00308641975308642,0.996913580246914,36
6,U01,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0,1,36
6,U02,1,1,1,1,1,0,0,0,1,36
6,U03,1,1,1,1,1,0,0,0,1,36
6,U04,0.997222222222222,1,0.972222222222222,1,0.985915492957746,0,0.0277777777777778,0.0277777777777778,0.999056927297668,36
6,U05,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0.00154320987654321,0.99991426611797,36
6,U06,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0,1,36
6,U07,0.991666666666667,0.923076923076923,1,0.990740740740741,0.96,0.00925925925925926,0,0,1,36
6,U08,0.997222222222222,0.972972972972973,1,0.996913580246914,0.986301369863014,0.00308641975308642,0,0.00154320987654321,0.99991426611797,36
