User,Domain,RawCentroidDistance,NormalizedCentroidDistance,MeanAbsoluteNormalizedShift,ExactDuplicate
U01,FreqD,0.0505188748657547,1.1897980419494,0.1558660694643,0
U02,FreqD,0.373119648464717,2.45843860928924,0.292005893707758,0
U03,FreqD,0.142680809579283,1.57339334064997,0.221091419725569,0
U04,FreqD,0.0776320083635037,1.50184575678969,0.179904944384867,0
U05,FreqD,0.155790497418928,3.05203152262238,0.351656903273884,0
U06,FreqD,0.0600441356339049,1.06798391204596,0.123617174291721,0
U07,FreqD,0,0,0,1
U08,FreqD,0.174254407574901,1.31985726886445,0.143862806716121,0
U09,FreqD,0.152793275439043,2.33748021290517,0.288424731997532,0
U10,FreqD,1.02674032809809,15.2712776015561,1.57648771160035,0
U01,TimeD,25.7857527037351,1.21179095498615,0.0879131264727052,0
U02,TimeD,99.6176026766386,4.80637996766195,0.350079302654946,0
U03,TimeD,61.4607416972744,2.62171687548789,0.203078282535658,0
U04,TimeD,63.2298727084983,2.55020415158149,0.190142947094257,0
U05,TimeD,69.2911617648077,4.74795666839349,0.352461439481967,0
U06,TimeD,54.0042891269558,1.25744081224696,0.0827196056235842,0
U07,TimeD,0,0,0,1
U08,TimeD,36.9834022429916,1.59119542118482,0.113740423781173,0
U09,TimeD,27.2341209938217,2.51977236002388,0.181975152558807,0
U10,TimeD,159.266953329429,38.6865150002042,1.7313688866811,0
U01,TimeD_FreqD,25.7858021914172,1.69825107072331,0.11021829096613,0
U02,TimeD_FreqD,99.6183014376008,5.39863026972454,0.331017038649381,0
U03,TimeD_FreqD,61.4609073134502,3.05760788519713,0.208990991689598,0
U04,TimeD_FreqD,63.2299203657701,2.95957461334069,0.186782381319419,0
U05,TimeD_FreqD,69.2913369000472,5.64428816947035,0.352197355077787,0
U06,TimeD_FreqD,54.0043225066852,1.6497718123102,0.0961439983925148,0
U07,TimeD_FreqD,0,0,0,1
U08,TimeD_FreqD,36.983812757279,2.06734759500522,0.123627923523179,0
U09,TimeD_FreqD,27.2345496032363,3.43701418269747,0.216916617565412,0
U10,TimeD_FreqD,159.270262819334,41.5915660013519,1.68053002768513,0
