Model,FeatureCount,Architecture,Repeats,MeanAccuracy,SDAccuracy,Accuracy95CIHalfWidth,MeanMacroPrecision,MeanMacroRecall,MeanMacroF1,SDMacroF1,MacroF195CIHalfWidth,MeanFAR,MeanFRR,MeanEER
Baseline,131,24,10,0.906666666666667,0.0304346654565817,0.0188636010829371,0.931183873809675,0.906666666666667,0.890624485633748,0.0418266790772584,0.0259244442776291,0.0103703703703704,0.0933333333333333,0.013533950617284
Optimized,80,48-24,10,0.904444444444445,0.0275048318488642,0.0170476713992608,0.932868907950072,0.904444444444445,0.883562531257611,0.0382256365985139,0.0236924950255943,0.0106172839506173,0.0955555555555555,0.0137037037037037
