User,Accuracy,Precision,Recall,Specificity,F1,SDF1,FAR,FRR,EER,AUC,MinimumF1,MaximumF1
U01,0.998333333333333,0.99451951951952,0.988888888888889,0.999382716049383,0.991627007095848,0.00973714149271038,0.000617283950617284,0.0111111111111111,0.00216049382716049,0.999957133058985,0.972222222222222,1
U02,0.998611111111111,0.986628733997155,1,0.998456790123457,0.993187708256201,0.00959944677099928,0.00154320987654321,0,0.000308641975308642,0.999862825788752,0.972972972972973,1
U03,0.998611111111111,1,0.986111111111111,1,0.992917505030181,0.0100544583616038,0,0.0138888888888889,0.00277777777777778,0.999819958847737,0.971428571428571,1
U04,0.995833333333333,0.994594594594595,0.963888888888889,0.999382716049383,0.978868278162123,0.00978999009142675,0.000617283950617284,0.0361111111111111,0.0141975308641975,0.998688271604938,0.958904109589041,0.985915492957746
U05,0.995,0.967923186344239,0.983333333333333,0.996296296296296,0.975176710991121,0.0156567742920843,0.0037037037037037,0.0166666666666667,0.00169753086419753,0.999819958847737,0.945945945945946,0.986301369863014
U06,0.999166666666667,0.991891891891892,1,0.999074074074074,0.995890410958904,0.00661706700739246,0.000925925925925926,0,0,1,0.986301369863014,1
U07,0.993055555555556,0.938836424877615,1,0.992283950617284,0.967550157574882,0.0332354561748455,0.00771604938271605,0,0,1,0.878048780487805,0.986301369863014
U08,0.997777777777778,0.983633633633634,0.994444444444444,0.998148148148148,0.98896499238965,0.0109346839483777,0.00185185185185185,0.00555555555555555,0.00324074074074074,0.999802812071331,0.972222222222222,1
U09,0.913888888888889,0.553994427975406,0.936111111111111,0.91141975308642,0.691223778400249,0.0771090844054675,0.0885802469135803,0.0638888888888889,0.0813271604938272,0.985819615912209,0.64,0.846153846153846
U10,0.918611111111111,0.916666666666667,0.191666666666667,0.999382716049383,0.260218763716949,0.300777842164781,0.000617283950617284,0.808333333333333,0.0313271604938272,0.983882030178327,0.0526315789473684,0.875
