PC,ExplainedVariance,CumulativeVariance
1,31.3060987717167,31.3060987717167
2,20.4991875631962,51.8052863349129
3,15.5602236057454,67.3655099406583
4,10.0714706966407,77.436980637299
5,8.63007476429289,86.0670554015919
6,4.98621629810432,91.0532716996962
7,2.39212886325291,93.4454005629491
8,1.84239048035403,95.2877910433032
9,1.1525516793369,96.4403427226401
10,1.0034925030267,97.4438352256668
11,0.683930846123041,98.1277660717898
12,0.459187702678489,98.5869537744683
13,0.38978355094034,98.9767373254086
14,0.344743879886027,99.3214812052947
15,0.194582074236944,99.5160632795316
16,0.159381591268906,99.6754448708005
17,0.148778419690488,99.824223290491
18,0.0577327847315963,99.8819560752226
19,0.0359207503003011,99.9178768255229
20,0.0214677076616086,99.9393445331845
21,0.0161518047187961,99.9554963379033
22,0.0142378660692909,99.9697342039726
23,0.0132435114958555,99.9829777154685
24,0.00324327561466756,99.9862209910831
25,0.00299069254401828,99.9892116836272
26,0.0027580351647327,99.9919697187919
27,0.0018561717227276,99.9938258905146
28,0.00141391717952979,99.9952398076941
29,0.00141074941087233,99.996650557105
30,0.00118072269281053,99.9978312797978
31,0.00102213127807933,99.9988534110759
32,0.000619425346289827,99.9994728364222
33,0.000348102371277632,99.9998209387935
34,0.00013534798443188,99.9999562867779
35,4.37132220583212e-05,99.9999999999999
36,6.17403935399871e-30,99.9999999999999
37,7.86617906730442e-31,99.9999999999999
38,1.74553603024964e-31,99.9999999999999
39,1.60933362569087e-31,99.9999999999999
40,1.60933362569087e-31,99.9999999999999
41,1.60933362569087e-31,99.9999999999999
42,1.60933362569087e-31,99.9999999999999
43,1.60022956338848e-31,99.9999999999999
