Feature,MeanIntraUserVariance,MedianIntraUserVariance,InterUserVariance,InterIntraRatio
1,0.00265809252038488,0.00223634304384191,0.0245402584560425,9.23228152061732
2,0.0149514615104538,0.0144129900929711,0.0105720011092442,0.707088139968946
3,0.000872263696248699,0.000882991856616414,0.00396582684408477,4.54659165701771
4,0.000712934436193253,0.000675675310832717,0.00323596837092852,4.5389424421776
5,0.000196022090618012,0.000137414218947672,0.000635863893256227,3.24383793301447
6,0.000652770049452028,0.000595297881020358,0.00239367442403227,3.66694891415567
7,0.000499154841294529,0.000351570397203658,0.00328733995918521,6.58581203110888
8,0.0194679267524762,0.0207795766725647,0.0447257211326577,2.297405455718
9,0.00057615714918751,0.000586746869303606,0.00352728522417315,6.12208878974413
10,0.0115475897249317,0.0100258532751097,0.242739077237975,21.0207569735429
11,0.0135941519057129,0.0136622789579926,0.0289435332265449,2.12911650739911
12,0.00251669562763253,0.00186001048236227,0.0173500937693957,6.89399766062113
13,0.133854467610372,0.109483499315751,0.0853621958349575,0.637723920305989
14,0.579794531950295,0.479592972193812,0.229185774664212,0.395287920176281
15,0.00155691755414972,0.00115192588742097,0.00697052453073587,4.47713143971947
16,0.000652770049452028,0.000595297881020358,0.00239367442403227,3.66694891415567
17,0.00218079781203205,0.00204158618643706,0.0138579552143771,6.35453462852796
18,0.00201871776248194,0.0016594328132505,0.00985879013560511,4.88368920055621
19,0.00296261509256331,0.00271516600455555,0.1025440654409,34.6126858322891
20,0.00631762514844473,0.00403695055720516,0.100202741268455,15.8608241093759
21,0.000482997414894963,0.000390932931283555,0.00146660630543626,3.03646822986523
22,0.000369834792351797,0.000315655991943999,0.0786128569673053,212.56209148781
23,5.21642676384224e-05,2.2612105608826e-05,0.000125563899866515,2.40708641279752
24,0.000406190709994341,0.000400853819564329,0.076417587573949,188.132287848169
25,0.000368477426708706,0.000295331279752957,0.00119546033602341,3.24432448060853
26,0.0109836801436444,0.0101533323627653,0.0192960615539143,1.75679383426686
27,0.000554153397015969,0.000452551206406105,0.00661788596610734,11.9423358256775
28,0.0280986542995073,0.0299893988559427,0.311889901633375,11.0998163224792
29,0.00164795620572658,0.00105684552557734,0.00597299815299524,3.62448840098937
30,0.0694266683741789,0.049734928520972,0.120345565296513,1.73341985313055
31,0.0010262194642874,0.000747068491933771,0.0705970135655935,68.7932903461349
32,0.000406190709994341,0.000400853819564329,0.076417587573949,188.132287848169
33,0.00150031179840682,0.00127160948416941,0.100907080016721,67.2574061764091
34,0.00249532571147863,0.00136678367357698,0.077712408234591,31.1431922001617
35,0.00283753280598794,0.0023197896672393,0.0174778076313867,6.15950856832476
36,0.0161119800352718,0.0146645220444486,0.0274008212830261,1.70064890988201
37,0.000286867073575871,0.000226410128286391,0.000680484554320894,2.37212499098608
38,0.000826569684382648,0.00050629541112054,0.0221159295220829,26.756279524811
39,2.21793421405979e-05,1.37793363397523e-05,3.94842044742963e-05,1.78022432872919
40,0.000928109544904132,0.000526160180074954,0.0255980093449952,27.5808060433569
41,0.000154205811931287,0.00011890870365817,0.000624867998379566,4.0521689199179
42,0.0204449804741722,0.020937053823906,0.00875388238766724,0.428167803766101
43,0.000468781255889524,0.000315430121502139,0.0101014138681296,21.5482460981875
44,0.000616726163816684,0.00059745511355562,0.00352997573402683,5.72373273768682
45,0.121205854868526,0.0957073615450002,0.0574126186794451,0.473678592026115
46,0.000748629591056485,0.00042878258345558,0.029207494328992,39.0146137394395
47,0.000928109544904132,0.000526160180074954,0.0255980093449952,27.5808060433569
48,0.00198853854308868,0.00109629010411869,0.0179821064535352,9.04287549066189
49,0.00307960147430037,0.0027131737273528,0.0169114692893924,5.49144732866227
50,0.0204441984225972,0.0188899896652737,0.0483178450484474,2.36340129603911
51,0.427213690416605,0.362566122014059,2.33779865556843,5.47219976328165
52,0.754126984126984,0.75515873015873,4.81237997256516,6.38139209159345
53,0.224774019014976,0.174130749176403,0.208816737962779,0.92900744880513
54,2.96084765639927,2.79642482566635,7.39765386262935,2.49849189188806
55,0.46515873015873,0.413888888888889,0.911085390946502,1.95865482442005
56,0.900161858811528,0.808519605315504,0.332404772024566,0.369272224512418
57,2.74181232079784,2.21950154971692,6.88968517354478,2.5128215820184
58,0.343650793650794,0.317063492063492,0.745747599451303,2.17007384597839
59,8.61111111111112,9,0.000205761316872428,2.389486260454e-05
60,1.9234126984127,0.111111111111111,0.630049725651577,0.327568662810393
61,100.189365079365,14.9444444444444,443.708882030178,4.4287024044787
62,235.100634920635,200.942063492063,657.36316872428,2.79609269854244
63,353.33380952381,317.313888888889,2516.37187928669,7.1217976074184
64,161.056825396825,94.2646825396825,295.648353909465,1.8356772721741
65,52.4751587301587,41.5853174603175,412.736634087791,7.86537180783375
66,11.3320634920635,0.128571428571429,12.2956104252401,1.08502837403368
67,0,0,0,0
68,0,0,0,0
69,0,0,0,0
70,0.213253968253968,0,0.0171553497942387,0.0804456298501701
71,30.9590476190476,6.36944444444444,30.4387517146776,0.983194059753639
72,261.224603174603,274.512698412699,2897.55198902606,11.0921863936734
73,364.20119047619,304.274206349206,8654.29459019205,23.7624006085115
74,131.120952380952,11.9674603174603,1848.49897119342,14.0976627886509
75,122.087222222222,0,6399.26029663923,52.4154795248871
76,34.7043650793651,0,172.319144375857,4.96534496400618
77,0,0,0,0
78,0,0,0,0
79,0.0111111111111111,0,0.000308641975308642,0.0277777777777773
80,0.267936507936508,0,0.00960219478737997,0.0358375753320461
81,2.41912698412698,0.222222222222222,0.385708161865569,0.159441056379586
82,70.1107142857143,9.2313492063492,38.7006944444444,0.551994011738803
83,125.592777777778,75.2722222222222,4233.39290980796,33.7072957913111
84,408.184126984127,237.864682539683,2180.53398491084,5.34203522567557
85,611.017698412698,297.268253968254,4781.34095507545,7.82520861097217
86,364.428492063492,113.103174603175,2648.18642832647,7.26668327531618
87,5.00150793650794,0,1.65865054869684,0.3316300943141
88,0,0,0,0
