Rank,Architecture,HiddenLayers,ParameterCount,MeanAccuracy,SDAccuracy,MeanMacroPrecision,MeanMacroRecall,MeanMacroF1,SDMacroF1,MeanSpecificity,MeanFAR,MeanFRR,MeanEER,MeanAUC
1,H48_24,48-24,7762,0.9775,0.010458250331676,0.979611111111111,0.9775,0.977571895424837,0.0104109179318324,0.9975,0.0025,0.0225,0.00388888888888889,0.999166666666667
2,H64_32,64-32,10858,0.9775,0.0205395959064438,0.979809523809524,0.9775,0.977385620915033,0.0205507491497201,0.9975,0.0025,0.0225,0.00125,0.999548611111111
3,H48,48,6826,0.9775,0.0162980060130066,0.979531746031746,0.9775,0.977204948646125,0.0167336389833605,0.9975,0.0025,0.0225,0.00111111111111111,0.999652777777778
4,H72,72,10234,0.9775,0.0162980060130066,0.980444444444445,0.9775,0.977161531279178,0.0164814831712225,0.9975,0.0025,0.0225,0.00125,0.999618055555555
5,H24,24,3418,0.975,0.0153093108923949,0.977222222222222,0.975,0.975078431372549,0.0150297906786202,0.997222222222222,0.00277777777777778,0.025,0.00208333333333333,0.999305555555555
6,H12,12,1714,0.975,0.0153093108923949,0.978222222222222,0.975,0.974842203548086,0.0154408764887762,0.997222222222222,0.00277777777777778,0.025,0.00180555555555556,0.999479166666667
