User,Domain,CentroidShift,MeanPairedSampleShift,FDayCentroidMagnitude,MDayCentroidMagnitude
U01,FreqD,1.02140280097887,3.06839932261561,4.80614971166671,4.61364312810991
U02,FreqD,1.91018643821043,3.90179855446401,4.7707783451725,5.87020097144904
U03,FreqD,1.32964321649254,3.01451764218702,3.43488849078504,3.64014379766098
U04,FreqD,1.25167823486507,3.39696561703849,2.69211123363322,1.8283293707953
U05,FreqD,2.32439421635042,3.677047989198,4.94365552227338,4.36319148853112
U06,FreqD,0.883332558941785,2.15735312325828,4.2085503384896,4.68488943856798
U07,FreqD,2.06083980778777e-15,3.9964141556572e-15,4.70655315779489,4.7065531577949
U08,FreqD,0.895570482856382,3.24987367515409,4.50356371725128,4.71170000682395
U09,FreqD,1.57900626173424,3.47680221567511,5.52382708213834,5.93004950139031
U10,FreqD,10.6443987531854,11.6448240306321,5.94139083051991,9.18349275953388
U01,TimeD,0.616455298850723,1.86707646521442,6.50607906395244,6.16365001936944
U02,TimeD,3.20179398671929,3.3708424331662,8.07579023288085,9.24704342656464
U03,TimeD,1.47749178565563,2.51633246072065,8.05287297591151,7.84385192749779
U04,TimeD,1.35006677556296,1.98941496941692,4.75883496755629,4.12279719455928
U05,TimeD,3.46863553832992,3.8350031806896,5.5765828300358,2.82641507510805
U06,TimeD,0.357312472489685,1.1151749983484,6.13382333455825,6.34803266086411
U07,TimeD,6.52675178645049e-15,7.70763329262306e-15,5.08719718995037,5.08719718995037
U08,TimeD,0.410482619831345,2.03473501060091,6.00207697576004,6.33422383559616
U09,TimeD,1.50629137877856,2.2852256675292,6.32698460201409,7.0110311255121
U10,TimeD,10.4968692251327,10.6606709880365,10.55406756584,15.0094598537123
U01,TimeD_FreqD,0.56417074331709,2.25951602695459,7.91384932619372,7.63139427444359
U02,TimeD_FreqD,3.64245754225536,4.04873154030629,9.45683765124249,11.0679193128422
U03,TimeD_FreqD,1.88197648075937,2.81070158257405,8.68946786017132,8.62073588074919
U04,TimeD_FreqD,1.51766358246746,2.25531310196415,4.12524419354385,3.68541595606538
U05,TimeD_FreqD,4.19728802542733,4.7646274548315,7.20832408756755,4.73985955142032
U06,TimeD_FreqD,0.813535214966685,1.59528240481697,7.37522228893265,7.86267183535305
U07,TimeD_FreqD,2.03507241945104e-15,8.56711803396844e-15,6.91582668377453,6.91582668377453
U08,TimeD_FreqD,0.554302682545857,2.32594697502699,7.52954023405663,7.94021984213663
U09,TimeD_FreqD,1.97238844628267,2.86103158231344,8.37680950274457,9.20706892656063
U10,TimeD_FreqD,13.7474270543718,13.9195031911124,12.3105822317627,16.8384490235069
