User,Accuracy,Precision,Recall,Specificity,F1,FAR,FRR,EER,SDF1
U01,0.997777777777778,1,0.977777777777778,1,0.988651911468813,0,0.0222222222222222,0.0108024691358025,0.0119287220742681
U02,0.997777777777778,0.979209979209979,1,0.997530864197531,0.989260273972603,0.00246913580246914,0,0,0.0173993095546359
U03,0.998888888888889,1,0.988888888888889,1,0.994366197183098,0,0.0111111111111111,0,0.00771440221838273
U04,0.993333333333333,0.983474903474903,0.95,0.998148148148148,0.966187260549599,0.00185185185185185,0.05,0.0265432098765432,0.00718862125884277
U05,0.995,0.9524893314367,1,0.994444444444444,0.975638652350981,0.00555555555555555,0,0.00154320987654321,0.00596064029544557
U06,0.998888888888889,0.989189189189189,1,0.998765432098766,0.994520547945206,0.00123456790123457,0,0,0.00750304873294751
U07,0.987777777777778,0.891878852854463,1,0.98641975308642,0.942641358641358,0.0135802469135802,0,0,0.0165847549500256
U08,0.997222222222222,0.994444444444444,0.977777777777778,0.999382716049383,0.985913257321708,0.000617283950617284,0.0222222222222222,0.000925925925925926,0.0140900959106484
U09,0.930555555555556,0.629642993822098,0.894444444444444,0.934567901234568,0.730465261767921,0.0654320987654321,0.105555555555556,0.0824074074074074,0.0964230945054457
U10,0.939444444444445,1,0.394444444444444,1,0.49880301678696,0,0.605555555555556,0.00864197530864198,0.350490965280503
