Feature,MeanIntraUserVariance,MedianIntraUserVariance,InterUserVariance,InterIntraRatio
1,0.00267410720721967,0.00191598740711704,0.0231589428336313,8.66043918175901
2,0.0208362314865155,0.0158133759119717,0.00555187650735256,0.266453005714853
3,0.000912364487078988,0.000748486740644856,0.00224529542899799,2.46096320143493
4,0.000840458574880711,0.000579791288429947,0.00776011229848181,9.23318832172208
5,0.000172938934514471,0.000158178572390246,0.000331556741484391,1.91718968556628
6,0.00081702017911167,0.000573799678872743,0.00917726368312967,11.2326034506338
7,0.000457583484945031,0.000442714928612314,0.00176019972310358,3.84672913471555
8,0.025112332838712,0.0194577835947963,0.0298784411727259,1.18979154046041
9,0.000680958220354581,0.000437460047224932,0.00767400818348055,11.2694258679807
10,0.0136457168270895,0.0113590498170737,0.250058927708644,18.3250855105115
11,0.0166611096606075,0.0131161552401195,0.0459084098309176,2.75542330409481
12,0.00186615725089683,0.00202328017510297,0.0083568643439752,4.47811369591608
13,0.162856014368644,0.142532221136909,0.198095739568442,1.2163857769479
14,0.968606117605128,0.840116525396035,0.325878126845048,0.336440293863494
15,0.00146116344755951,0.00114606822330926,0.0121549359911203,8.31866962687858
16,0.00081702017911167,0.000573799678872743,0.00917726368312967,11.2326034506338
17,0.00233686691092626,0.0021025116512463,0.0120929861734328,5.17487158420946
18,0.00200227545140972,0.00194907311447171,0.0106826161862585,5.33523805565119
19,0.00482020641214685,0.0043643096525027,0.110276850619869,22.8780349202408
20,0.00573270916094831,0.00605426460560913,0.128588024462976,22.4305857584619
21,0.000466018388223158,0.000388408865387823,0.00829917343175026,17.8086823212911
22,0.000365282614375557,0.000233479819174472,0.0809122399296318,221.505860791925
23,0.000120391556329631,3.00452849718275e-05,0.00208650258312553,17.3309710974153
24,0.000501395078961531,0.000428283416782523,0.0787744246630072,157.110486257916
25,0.000351601792344635,0.000267868837665619,0.00680257285093674,19.3473781961403
26,0.0130735775363229,0.0121020134849637,0.0916644388944918,7.01142733424074
27,0.000612297422939878,0.000417744661297619,0.00971207415071062,15.861693658738
28,0.0281430515765583,0.0260174255181217,0.358095178694518,12.7241062583558
29,0.0017744636889313,0.00119386398175923,0.0332240685080303,18.7234423083833
30,0.0664000399563242,0.0429554412666417,0.0654196663882458,0.985235346714799
31,0.00115959893628986,0.00070351763556281,0.0871439460216376,75.1500741285933
32,0.000501395078961531,0.000428283416782523,0.0787744246630072,157.110486257916
33,0.00190327010088575,0.00162942528553317,0.108350031964377,56.9283528984879
34,0.00429505791810436,0.00169915959231682,0.0801965060203332,18.6718101477253
35,0.00490631025372203,0.00289237276439208,0.0231164783326658,4.71158103283992
36,0.0200163963345398,0.0175215211051219,0.0302266800881861,1.51009600244712
37,0.000330125809185082,0.000230673309318917,0.000741511905785121,2.24614945318892
38,0.000670541617602887,0.0004390957256123,0.023997325626426,35.7879734776283
39,3.15043642811599e-05,1.8936152795849e-05,4.55407844390996e-05,1.44553891112834
40,0.000671326007890692,0.000451661121485151,0.026777646822422,39.8876946635042
41,0.000180795291900702,0.000131368558972748,0.000620469910908327,3.43189197232163
42,0.025670682670561,0.022663212361931,0.0126300194341475,0.492001696886365
43,0.000618487928688324,0.000317225065955766,0.00967781925157259,15.6475475149428
44,0.000818304139351795,0.000750993343855092,0.00310460271816318,3.79394722434326
45,0.164191515518263,0.10823607795509,0.0384643590326744,0.234265204942309
46,0.000510113048396923,0.000405346693579288,0.0304510811143986,59.6947700320167
47,0.000671326007890692,0.000451661121485151,0.026777646822422,39.8876946635042
48,0.00307755699401422,0.00161927300076918,0.0232150174528498,7.54332657299305
49,0.00438125314700925,0.004094475406657,0.0177279622809278,4.046322293207
50,1.27162419261615e-06,1.15543074579858e-06,1.04420099326123e-06,0.821155337514169
51,0.0172336333928977,0.0108270168336777,0.0461844899450008,2.6799043992681
52,3.22323076375389e-06,1.99090846611937e-06,2.88267338236761e-05,8.94342848357455
53,0.00103618401249927,0.000688529888436253,0.0074581524298531,7.19771038723374
54,1.41306770896805e-07,1.16263569542576e-07,5.22412908978668e-09,0.036970125694775
55,3.47063406221649e-06,2.27061395174509e-06,2.83499634801709e-05,8.16852568439659
56,6.37042184182279e-08,3.92081371313105e-08,5.15356641190123e-07,8.08983537024855
57,3.30348687361059e-07,3.07521206856933e-07,1.52223802589429e-08,0.0460797358400691
58,1.12745558150514e-06,9.21857904871333e-07,2.05980258249326e-06,1.82694787792684
