Rank,FeatureCount,MeanAccuracy,SDAccuracy,MeanMacroPrecision,MeanMacroRecall,MeanMacroF1,SDMacroF1,MeanSpecificity,MeanFAR,MeanFRR,MeanEER,MeanAUC
1,80,0.99,0.0104582503316759,0.991111111111111,0.99,0.989960784313726,0.0104992630780746,0.998888888888889,0.00111111111111111,0.01,0.00305555555555556,0.999513888888889
2,131,0.9875,0.0125,0.988888888888889,0.9875,0.987450980392157,0.0125490196078431,0.998611111111111,0.00138888888888889,0.0125,0.000277777777777778,0.999930555555556
3,60,0.985,0.010458250331676,0.986111111111111,0.985,0.984960784313725,0.0104758354150499,0.998333333333333,0.00166666666666667,0.015,0.00638888888888889,0.997604166666667
4,100,0.9825,0.011180339887499,0.984333333333333,0.9825,0.982581699346405,0.0111010082385417,0.998055555555555,0.00194444444444444,0.0175,0.000277777777777778,0.999930555555555
5,40,0.9775,0.010458250331676,0.979722222222222,0.9775,0.977421568627451,0.0104816943742421,0.9975,0.0025,0.0225,0.000416666666666667,0.999861111111111
6,20,0.965,0.0240442300770892,0.969434343434343,0.965,0.965023244385473,0.0238791731173256,0.996111111111111,0.00388888888888889,0.035,0.00708333333333333,0.998125
