Domain,OriginalFeatures,PC1VariancePercent,PC2VariancePercent,PC1PC2VariancePercent,First3VariancePercent,PCsFor90Percent,PCsFor95Percent,PCsFor99Percent,FDaySeparationRatio,MDaySeparationRatio,MeanCrossDayCentroidShift,MaximumCrossDayCentroidShift,MDayMeanBetweenUserDistance
FreqD,43,31.3060987717167,20.4991875631962,51.8052863349129,67.3655099406583,6,8,14,2.86105091107773,2.66063888766059,2.18396129636152,10.6443987531854,6.85212124940676
TimeD,88,23.6201330348792,21.7795183510903,45.3996513859695,61.8505328024743,12,18,32,6.65106079883823,7.51053318833368,2.28853990813508,10.4968692251327,10.0248699084394
TimeD_FreqD,131,25.6654438942497,17.3672454134893,43.032689307739,57.8496550973301,15,23,42,6.5645999866313,6.79307589041747,2.88912097723937,13.7474270543718,11.94372175045
