Domain,Day,FeatureCount,MeanInterIntraRatio,MedianInterIntraRatio,MaximumInterIntraRatio,MeanIntraVariance,MeanInterVariance,BestFeature,BestFeatureRatio
FreqD,FDay,43,6.86157914368206,2.29615803210992,34.0208233615454,0.000760653166042764,0.00551472800999196,34,34.0208233615454
FreqD,MDay,43,6.28390803488525,3.18869867326706,22.4263024502874,0.000892509878668361,0.00718801490146526,34,22.4263024502874
TimeD,FDay,88,15.1045966756306,3.85955891703679,212.56209148781,39.3805766970741,434.672455862282,22,212.56209148781
TimeD,MDay,88,17.0567191278496,4.94322630852469,221.505860791925,32.4795642002113,430.051638440532,22,221.505860791925
TimeD_FreqD,FDay,131,12.398873363617,3.66694891415567,212.56209148781,26.4543775376234,291.995520986147,22,212.56209148781
TimeD_FreqD,MDay,131,13.5206055629835,4.71158103283992,221.505860791925,21.8186261644532,288.892009674867,22,221.505860791925
