User,Accuracy,Precision,Recall,Specificity,F1,FAR,FRR,EER,AUC
U01,0.998765432098765,1,0.988888888888889,1,0.994366197183098,0,0.0111111111111111,0.000694444444444444,0.999961419753086
U02,0.998456790123457,0.986902286902287,1,0.998263888888889,0.993260273972603,0.00173611111111111,0,0,1
U03,0.999382716049383,1,0.994444444444444,1,0.997183098591549,0,0.00555555555555555,0,1
U04,0.987654320987654,0.945833333333333,0.972222222222222,0.989583333333333,0.953754324190758,0.0104166666666667,0.0277777777777778,0.0166666666666667,0.999035493827161
U05,0.996913580246914,0.975675675675676,0.997222222222222,0.996875,0.986262782172487,0.003125,0.00277777777777778,0.00104166666666667,0.999903549382716
U06,0.998765432098765,0.989189189189189,1,0.998611111111111,0.994520547945206,0.00138888888888889,0,0,1
U08,0.998765432098766,0.989189189189189,1,0.998611111111111,0.994520547945206,0.00138888888888889,0,0,1
U09,0.912962962962963,0.57316814486862,0.988888888888889,0.903472222222222,0.721961144501097,0.0965277777777778,0.0111111111111111,0.0237847222222222,0.997077546296296
U10,0.90462962962963,1,0.141666666666667,1,0.216779404609192,0,0.858333333333333,0.0699652777777778,0.957407407407407
